DATAFLOW,LAST UPDATE,freq,c_resid,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2012,57894645,b,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2013,58463094,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2014,59418767,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2015,62933235,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2016,67433107,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2017,74544690,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2018,77234113,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2019,80101553,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2020,27811935,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2021,49583719,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2022,83530566,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2023,94938777,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",Italy,2024,104755520,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2012,116879829,b,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2013,119970121,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2014,119892978,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2015,122910476,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2016,126598192,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2017,135214649,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2018,138843247,e,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2019,139916892,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2020,59862638,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2021,89350534,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2022,144138529,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2023,154606397,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",European Union - 27 countries (from 2020),2024,159027998,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2012,25742992,b,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2013,25358070,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2014,25349507,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2015,25289621,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2016,26691477,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2017,28575045,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2018,27714259,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2019,27113887,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2020,10559083,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2021,20649086,,
ESTAT:TOUR_OCC_NINAT(1.0),30/01/26 23:00:00,Annual,Foreign country,Number,"Camping grounds, recreational vehicle parks and trailer parks",Italy,2022,28823116,,
